Prenom,Nom,Société,Site,Département,Service,fonction,Manager - prénom,Manager - nom,email,Téléphone fixe,Téléphone portable,Nomadisme - Télétravail
Alban,Dumas,BillU,Lyon,Communication et Relations publiques,Relation Médias,Rédacteur,Gaelle,Colin,oui,oui,non,non
Aurelien,Brunet,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Responsable relation média,Gaelle,Colin,oui,oui,non,non
Corentin,Arnaud,BillU,Lyon,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,oui,oui,non,non
Diego,Aubert,BillU,Paris 20,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,oui,oui,non,non
Erwan,Faure,BillU,Paris 20,Communication et Relations publiques,Communication interne,Chargé de communication,Gaelle,Colin,oui,oui,non,non
Felianne,Fernandez,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Rédacteur,Gaelle,Colin,oui,oui,non,non
Gaelle,Colin,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Directrice communication,Camille,Martin,oui,oui,non,non
Gaetan,Roussel,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,oui,oui,non,non
Ines,Henry,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,oui,oui,non,non
Laurence,Guerin,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Designer graphique,Gaelle,Colin,oui,oui,non,non
Loic,Blanc,BillU,Lyon,Communication et Relations publiques,Communication interne,Chargé en droit de la communication,Gaelle,Colin,oui,oui,non,non
Lukas,Rousseau,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,photographe,Gaelle,Colin,oui,oui,non,non
Mathias,Muller,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Community manager,Gaelle,Colin,oui,oui,non,non
Noémie,Leloir,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Consultant,Gaelle,Colin,oui,oui,non,non
Régina,Illaconnesé,BillU,Lyon,Communication et Relations publiques,Relation Médias,Chargée relation presse,Gaelle,Colin,oui,oui,non,non
Sophia,Leclerc,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Chargée relation presse,Gaelle,Colin,oui,oui,non,non
Aarav,Gupta,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Adam,Thomas,BillU,Paris 20,Développement logiciel,analyse et conception,Développeur,Wilfried,José,oui,oui,non,non
Amélie,Fournier,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Amira,El-Mahdi,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Arjun,Patel,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Aurélie,Yosef,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Aya,Benali,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Benjamin,Schmitt,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Camille,Blanchet,BillU,Paris 20,Développement logiciel,Test et qualité,Développeur,Elena,Sánchez,oui,oui,non,non
Carla,Pelcaut,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,non,oui,non,non
Charlotte,Giroux,BillU,Paris 20,Développement logiciel,analyse et conception,Développeur,Wilfried,José,oui,oui,non,non
Chloé,Dubois,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Clara,Garcia,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
David,Vidal,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Dmitri,Ivanov,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Emilien,Gerot,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,non,oui,non,non
Emma,Leclerc,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Emmanuelle,Leroux,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Eshan,Khan,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Etienne,Legrand,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Fabio,Romano,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Felix,Hoffmann,BillU,Paris 20,Développement logiciel,analyse et conception,Développeur,Wilfried,José,oui,oui,non,non
Fergie,Lork,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Florent,Houssay,BillU,Paris 20,Développement logiciel,analyse et conception,Développeur,Wilfried,José,non,oui,non,non
Florian,Rellay,BillU,Paris 20,Développement logiciel,Développement,Responsable developpement Paris,Sofia,Rossi,oui,oui,non,non
Giovanni,Moretti,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Greta,Schmidt,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Guillaume,Pierre,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,non,oui,non,non
Hamza,Amari,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Hana,Kim,BillU,Lyon,Développement logiciel,Développement,Responsable développement Lyon,Sofia,Rossi,oui,oui,non,non
Hao,Wang,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Henri,Lambert,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Ines,Dupont,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Jaxon,Brown,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Jean,Rolland,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Jéremy,Martelant,BillU,Paris 20,Développement logiciel,analyse et conception,Développeur,Wilfried,José,non,oui,non,non
Joséphine,Robert,BillU,Paris 20,Développement logiciel,analyse et conception,Développeur,Wilfried,José,oui,oui,non,non
Julia,Schneider,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Kaito,Takahashi,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
Kevin,Dumont,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Killian,Masson,BillU,Paris 20,Développement logiciel,Développement,Développeur,Florian,Rellay,oui,oui,non,non
Klaus,Becker,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,oui,oui,non,non
