Prenom,Nom,Société,Site,Département,Service,fonction,Manager - prénom,Manager - nom,Date de naissance,email,Téléphone fixe,Téléphone portable,Nomadisme - Télétravail
Yara,Abadi,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,11/08/1985  ,Yara.Abadi@BillU.fr,0451574123,0708454747  ,non
Remi,Advezekt,BillU,Lyon,Service Juridique,Protection des données et conformité,Juriste,Gabriel,Michel,28/05/1997  ,Remi.Advezekt@BillU.fr,0488168544,0636242191  ,non
Youssef,Al-Masri,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,29/06/1983  ,Youssef.Al-Masri@BillU.fr,0405905726  ,0618291739  ,non
Hamza,Amari,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,28/10/1993  ,Hamza.Amari@BillU.fr,0439648412,0645513470  ,non
Noémie,Andre,BillU,Paris 20,Finance et Comptabilité,Finance,Controleur de gestion,Gabriel,Michel,05/05/1995  ,Noémie.Andre@BillU.fr,0109401276  ,0685707261  ,non
Corentin,Arnaud,BillU,Lyon,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,01/01/1991  ,Corentin.Arnaud@BillU.fr,0448522008,0710630503  ,non
Diego,Aubert,BillU,Paris 20,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,14/05/1989  ,Diego.Aubert@BillU.fr,0198004015  ,0736672209  ,non
Tariq,Aziz,BillU,Paris 20,Développement logiciel,Test et qualité,Développeur,Elena,Sánchez,12/03/1989  ,Tariq.Aziz@BillU.fr,0118152101  ,0647801660  ,non
Alex,Barbier,BillU,Paris 20,Finance et Comptabilité,Finance,Analyste financier,Gabriel,Michel,21/10/1992  ,Alex.Barbier@BillU.fr,0153906457  ,0646294583  ,non
Klaus,Becker,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,18/07/2000  ,Klaus.Becker@BillU.fr,0454657209  ,0622495647  ,non
Aya,Benali,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,29/10/1987,Aya.Benali@BillU.fr,0491397285  ,0673863933  ,non
Alexis,Bernard,BillU,Paris 20,Direction,,Directeur adjoint,Camille,Martin,11/04/1991  ,Alexis.Bernard@BillU.fr,0187246457  ,0738812832  ,non
Sara,Bernard,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,04/09/1988  ,Sara.Bernard@BillU.fr,0405546197  ,0711619222  ,non
Quentin,Bertrand,BillU,Lyon,Finance et Comptabilité,Fiscalité,Conseiller en fiscalité,Gabriel,Michel,22/08/1982  ,Quentin.Bertrand@BillU.fr,0483436266,0754462410  ,non
Guido,Bianchi,BillU,Paris 20,Développement logiciel,Test et qualité,Développeur,Elena,Sánchez,25/09/1983  ,Guido.Bianchi@BillU.fr,0182113602  ,0730980513  ,non
Loic,Blanc,BillU,Lyon,Communication et Relations publiques,Communication interne,Chargé en droit de la communication,Gaelle,Colin,03/11/1982  ,Loic.Blanc@BillU.fr,0460352162,0747070420  ,non
