"GivenName","Surname","Company","Department","Title"
,,,,
,,,,
,,,,
"Alban","Dumas","BillU","DptCommunicationEtRelationsPubliques","RelationMedias"
"Aurelien","Brunet","BillU","DptCommunicationEtRelationsPubliques","RelationMedias"
"Corentin","Arnaud","BillU","DptCommunicationEtRelationsPubliques","CommunicationInterne"
"Diego","Aubert","BillU","DptCommunicationEtRelationsPubliques","CommunicationInterne"
"Erwan","Faure","BillU","DptCommunicationEtRelationsPubliques","CommunicationInterne"
"Felianne","Fernandez","BillU","DptCommunicationEtRelationsPubliques","RelationMedias"
"Gaelle","Colin","BillU","DptCommunicationEtRelationsPubliques","RelationMedias"
"Gaetan","Roussel","BillU","DptCommunicationEtRelationsPubliques","GestionDesMarques"
"Ines","Henry","BillU","DptCommunicationEtRelationsPubliques","GestionDesMarques"
"Laurence","Guerin","BillU","DptCommunicationEtRelationsPubliques","GestionDesMarques"
"Loic","Blanc","BillU","DptCommunicationEtRelationsPubliques","CommunicationInterne"
"Lukas","Rousseau","BillU","DptCommunicationEtRelationsPubliques","GestionDesMarques"
"Mathias","Muller","BillU","DptCommunicationEtRelationsPubliques","GestionDesMarques"
"Noemie","Leloir","BillU","DptCommunicationEtRelationsPubliques","GestionDesMarques"
"Regina","Illaconnese","BillU","DptCommunicationEtRelationsPubliques","RelationMedias"
"Sophia","Leclerc","BillU","DptCommunicationEtRelationsPubliques","RelationMedias"
"Aarav","Gupta","BillU","DptDeveloppementLogiciel","Developpement"
"Adam","Thomas","BillU","DptDeveloppementLogiciel","AnalyseEtConception"
"Amelie","Fournier","BillU","DptDeveloppementLogiciel","Developpement"
"Amira","El-Mahdi","BillU","DptDeveloppementLogiciel","Developpement"
"Arjun","Patel","BillU","DptDeveloppementLogiciel","Developpement"
"Aurelie","Yosef","BillU","DptDeveloppementLogiciel","Developpement"
"Aya","Benali","BillU","DptDeveloppementLogiciel","Developpement"
"Benjamin","Schmitt","BillU","DptDeveloppementLogiciel","Developpement"
"Camille","Blanchet","BillU","DptDeveloppementLogiciel","TestEtQualite"
"Carla","Pelcaut","BillU","DptDeveloppementLogiciel","Developpement"
"Charlotte","Giroux","BillU","DptDeveloppementLogiciel","AnalyseEtConception"
"Chloe","Dubois","BillU","DptDeveloppementLogiciel","Developpement"
"Clara","Garcia","BillU","DptDeveloppementLogiciel","Developpement"
"David","Vidal","BillU","DptDeveloppementLogiciel","Developpement"
"Dmitri","Ivanov","BillU","DptDeveloppementLogiciel","Developpement"
"Emilien","Gerot","BillU","DptDeveloppementLogiciel","Developpement"
"Emma","Leclerc","BillU","DptDeveloppementLogiciel","Developpement"
"Emmanuelle","Leroux","BillU","DptDeveloppementLogiciel","Developpement"
"Eshan","Khan","BillU","DptDeveloppementLogiciel","Developpement"
"Etienne","Legrand","BillU","DptDeveloppementLogiciel","Developpement"
"Fabio","Romano","BillU","DptDeveloppementLogiciel","Developpement"
"Felix","Hoffmann","BillU","DptDeveloppementLogiciel","AnalyseEtConception"
"Fergie","Lork","BillU","DptDeveloppementLogiciel","Developpement"
"Florent","Houssay","BillU","DptDeveloppementLogiciel","AnalyseEtConception"
"Florian","Rellay","BillU","DptDeveloppementLogiciel","Developpement"
