Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,PC,Date de naissance,Telephone fixe,Telephone portable
Loic,Blanc,BillU,Lyon,Communication et Relations publiques,Communication interne,Chargé en droit de la communication,Gaelle,Colin,LY88356,03/11/1982  ,0460352162,0747070420  
Régina,Illaconnesé,BillU,Lyon,Communication et Relations publiques,Relation Médias,Chargée relation presse,Gaelle,Colin,LY99009,16/11/1994  ,0455106945  ,0643567057  
Corentin,Arnaud,BillU,Lyon,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,LY11094,01/01/1991  ,0448522008,0710630503  
Alban,Dumas,BillU,Lyon,Communication et Relations publiques,Relation Médias,Rédacteur,Gaelle,Colin,LY78671,02/12/1987  ,0497796902  ,0615034263  
Gaelle,Colin,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Directrice communication,Camille,Martin,PA23669,23/06/1999  ,0146389837  ,0625101497  
Erwan,Faure,BillU,Paris 20,Communication et Relations publiques,Communication interne,Chargé de communication,Gaelle,Colin,PA10218,17/06/1993  ,0127364911  ,0707561174  
Sophia,Leclerc,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Chargée relation presse,Gaelle,Colin,PA76764,10/08/1988  ,0134259365  ,0732836175  
Diego,Aubert,BillU,Paris 20,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA19149,14/05/1989  ,0198004015  ,0736672209  
Mathias,Muller,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Community manager,Gaelle,Colin,PA63498,08/12/2000  ,0112691924  ,0695993512  
Noémie,Leloir,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Consultant,Gaelle,Colin,PA68385,14/11/1994  ,0165300831  ,0628752957  
Laurence,Guerin,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Designer graphique,Gaelle,Colin,PA63117,20/07/1990  ,0114806301  ,0642681764  
Lukas,Rousseau,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,photographe,Gaelle,Colin,PA74987,19/04/1993  ,0199526389  ,0742450021  
Felianne,Fernandez,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Rédacteur,Gaelle,Colin,PA92969,17/11/1992  ,0122223912  ,0655605121  
Aurelien,Brunet,BillU,Paris 20,Communication et Relations publiques,Relation Médias,Responsable relation média,Gaelle,Colin,PA68867,12/03/1985  ,0114409115  ,0778858220  
Ines,Henry,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,PA39469,05/01/2000  ,0138585445  ,0685150170  
Gaetan,Roussel,BillU,Paris 20,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,PA74884,27/10/1994  ,0181708327  ,0622836246  
Remi,Advezekt,BillU,Lyon,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,LY12540,28/05/1997  ,0488168544,0636242191  
Robin,Bourgeois,BillU,Paris 20,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA33490,17/07/1997  ,0130797419  ,0639419562  
Yann,Boyer,BillU,Paris 20,Département Juridique,Protection des données et conformité,Juriste,Fauve,Hôlth,PA48690,30/03/1992  ,0198705216  ,0654717439  
Hélène,Cault,BillU,Paris 20,Département Juridique,Propriété intellectuelle,Juriste,Fauve,Hôlth,PA26363,30/06/1985  ,0155916179  ,0785945155  
Faustine,Denis,BillU,Paris 20,Département Juridique,Propriété intellectuelle,Juriste,Fauve,Hôlth,PA51856,15/03/1983  ,0102226399  ,0621873155  
Fauve,Hôlth,BillU,Paris 20,Département Juridique,,Directeur juridique,Camille,Martin,PA87056,08/01/1988,0169521011,0757881221
Yara,Abadi,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY58412,11/08/1985  ,0451574123,0708454747  
Youssef,Al-Masri,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY51530,29/06/1983  ,0405905726  ,0618291739  
Hamza,Amari,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY10427,28/10/1993  ,0439648412,0645513470  
Klaus,Becker,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY52587,18/07/2000  ,0454657209  ,0622495647  
Aya,Benali,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY77535,29/10/1987,0491397285  ,0673863933  
Sara,Bernard,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY15299,04/09/1988  ,0405546197  ,0711619222  
Jaxon,Brown,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY78780,04/02/1995  ,0498967826  ,0669253429  
Chloé,Dubois,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY69037,01/06/1993  ,0429802914  ,0780423691  
Ines,Dupont,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY62916,10/10/1997  ,0400574810  ,0753651907  
Sébastien,Durand,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY27630,25/11/1993  ,0488269699  ,0731301331  
Amira,El-Mahdi,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY55201,29/07/1996  ,0458291595  ,0717702917  
Matteo,Ferrari,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY96975,23/04/1999  ,0490479587  ,0751795824  
Clara,Garcia,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY48530,25/12/1993  ,0451005639  ,0798393127  
Miguel,Hernandez,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY52831,12/06/1982  ,0487788740  ,0786946251  
Dmitri,Ivanov,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY75404,13/09/1996  ,0461057854  ,0730392491  
Mia,Johnson,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY67552,07/02/1992  ,0484067444  ,0766852271  
Eshan,Khan,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY34827,30/01/1994  ,0400651068  ,0775328289  
Emma,Leclerc,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY19161,06/09/1986  ,0443886736  ,0627944566  
Luc,Martin,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY94045,23/06/1995  ,0455257323  ,0670595973  
Rafael,Martinez,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY99298,30/04/1993  ,0483688186,0661495091  
Lina,Müller,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY25185,02/10/1992  ,0486277364  ,0798336372  
Nora,O'Sullivan,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY62745,15/01/1988  ,0476666158  ,0614262800  
Yiannis,Papadopoulos,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY57679,27/04/1991  ,0458513271  ,0773904406  
Arjun,Patel,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY40065,03/06/2001  ,0492850889  ,0705764979  
Tristan,Petit,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY74440,14/10/1986  ,0434487630  ,0698147680  
Fabio,Romano,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY90927,13/08/1995  ,0427089097  ,0619668188  
Julia,Schneider,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY43252,02/09/1997  ,0493152215  ,0704368428  
Zoe,Smith,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY53861,19/06/1998  ,0463007325  ,0672951308  
Kaito,Takahashi,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY92121,04/12/1996  ,0440518543  ,0777339340  
Hao,Wang,BillU,Lyon,Développement logiciel,Développement,Développeur,Hana,Kim,LY70346,19/07/1984  ,0486484484  ,0744724250  
Hana,Kim,BillU,Lyon,Développement logiciel,Développement,Responsable développement Lyon,Sofia,Rossi,LY48799,24/07/1987  ,0413831076  ,0768876988  
Sofia,Rossi,BillU,Paris 20,Développement logiciel,,Directeur Développement logiciel,Alexis,Bernard,PA93655,21/09/1998  ,0185544131  ,0730413931  
